OBJ:31.813420621931265  -  TIME: 3 s.
OBJ:31.5139116202946  -  TIME: 5 s.
OBJ:31.391162029459906  -  TIME: 5 s.
OBJ:31.12602291325696  -  TIME: 5 s.
OBJ:31.021276595744684  -  TIME: 5 s.
OBJ:30.909983633387895  -  TIME: 5 s.
OBJ:29.3518821603928  -  TIME: 5 s.
OBJ:28.98036006546645  -  TIME: 5 s.
OBJ:28.479541734860884  -  TIME: 5 s.
OBJ:28.389525368248773  -  TIME: 5 s.
OBJ:27.639934533551557  -  TIME: 5 s.
OBJ:27.289689034369886  -  TIME: 5 s.
OBJ:26.225859247135844  -  TIME: 5 s.
OBJ:25.641571194762687  -  TIME: 5 s.
OBJ:25.111292962356796  -  TIME: 5 s.
OBJ:24.301145662847794  -  TIME: 5 s.
OBJ:22.034369885433716  -  TIME: 5 s.
OBJ:21.435351882160397  -  TIME: 5 s.
OBJ:21.386252045826517  -  TIME: 5 s.
OBJ:21.180032733224227  -  TIME: 5 s.
OBJ:21.160392798690673  -  TIME: 5 s.
OBJ:20.805237315875612  -  TIME: 5 s.
OBJ:20.79541734860884  -  TIME: 5 s.
OBJ:20.687397708674304  -  TIME: 5 s.
OBJ:20.618657937806873  -  TIME: 5 s.
OBJ:20.414075286415713  -  TIME: 5 s.
OBJ:19.909983633387892  -  TIME: 5 s.
OBJ:19.757774140752865  -  TIME: 5 s.
OBJ:19.319148936170212  -  TIME: 5 s.
OBJ:19.086743044189856  -  TIME: 5 s.
OBJ:18.923076923076923  -  TIME: 5 s.
OBJ:18.78232405891981  -  TIME: 5 s.
OBJ:18.76759410801964  -  TIME: 6 s.
OBJ:18.476268412438625  -  TIME: 6 s.
